idx,u1,v1,u2,v2,reproj_u1,reproj_v1,reproj_u2,reproj_v2,err1_px,err2_px
0,2025.779052734375,2035.5589599609375,1676.6700439453125,2033.52978515625,2025.4659337218563,2025.8627910534071,1676.4195675514661,2042.910173453212,9.701223376428317,9.38373182831106
1,1864.360107421875,2282.117919921875,1485.596923828125,2260.574462890625,1864.036622110099,2272.214257152638,1485.286905814826,2270.1115842417375,9.908944393511792,9.542158814147701
2,1694.37158203125,2096.13232421875,1294.98193359375,2070.508544921875,1694.0396357622296,2085.95819747579,1294.7092281030104,2080.2561755652955,10.179540427118232,9.751444582482637
3,1863.5556640625,1840.51708984375,1495.173583984375,1835.0667724609375,1863.220474384812,1830.122615136917,1494.9535313582287,1845.0737577794287,10.39987771808021,10.009404493913287
4,2784.77978515625,1307.131103515625,2502.6826171875,1361.98193359375,2784.468593977305,1297.0369400574607,2502.5844566028763,1371.944954166873,10.098959147852455,9.96350412459622
5,2929.185302734375,1558.9471435546875,2629.566650390625,1615.1160888671875,2928.86909935799,1548.6995515360047,2629.404564121636,1625.265681579667,10.252469300447009,10.150886867058043
6,2678.361328125,1694.79052734375,2370.741943359375,1737.292236328125,2678.0540658164787,1684.9732383221453,2370.558181736239,1746.9544855714785,9.82209620498381,9.663996521875529
7,2538.275146484375,1447.6507568359375,2250.935302734375,1487.8355712890625,2537.941840232562,1436.9661880308338,2250.798547299262,1498.3158474423537,10.689766302800685,10.481168365133636
8,2110.379638671875,1114.546875,1801.894287109375,1149.15283203125,2110.049358583017,1104.0102763905152,1801.8447257254265,1159.36762707749,10.54177381632208,10.21491527950511
9,1995.6131591796875,1382.225830078125,1661.9677734375,1401.037353515625,1995.269467157569,1371.382791057651,1661.850765310544,1411.5147199040398,10.848484659416204,10.478019724110936
10,1805.6240234375,1204.6473388671875,1442.4481201171875,1223.76708984375,1805.279919508015,1193.7872576136958,1442.3766573997084,1234.2003686850035,10.865531388143348,10.433523580235816
11,1927.67333984375,922.2550048828125,1591.6685791015625,958.3988647460938,1927.3276757555373,911.2162630907254,1591.6662524926644,969.0408265620093,11.044152480577667,10.641962070244103
12,2903.466796875,2205.271240234375,2560.72216796875,2251.437744140625,2903.148949044258,2195.169835473167,2560.4081814655506,2261.433530928675,10.106404177216648,10.000717026110822
13,2594.990966796875,1942.6595458984375,2272.728759765625,1974.790771484375,2594.6681733645687,1932.4398667569224,2272.478847940445,1984.8271384640218,10.22477566284267,10.039477977988167
14,2878.5947265625,1919.4290771484375,2555.198486328125,1968.1290283203125,2878.282884643694,1909.4504226375154,2554.9562766726835,1977.9984077606812,9.983525991886328,9.87235109055391
15,4954.72607421875,3251.724609375,4442.37890625,3476.395751953125,4954.504570236188,3244.7124182841967,4441.956593084759,3483.668218116028,7.015688698070357,7.284717736474526
16,4932.5205078125,3474.3828125,4334.52978515625,3703.44677734375,4932.307983464305,3467.7204846995655,4334.092210979058,3710.3395224240635,6.665716639568301,6.906620440036572
17,4551.75,3365.35107421875,3970.571533203125,3553.79248046875,4551.535533968383,3358.6247600746196,3970.1538513177356,3560.690363787692,6.729732360521158,6.910517523248369
18,4591.796875,3157.9892578125,4093.019287109375,3345.51416015625,4591.565341879053,3150.644837720706,4092.599792308114,3353.0673551271952,7.348068730682929,7.564835104441964
19,4566.20947265625,384.48443603515625,4126.169921875,495.3204345703125,4565.898464149502,373.48324853960816,4126.290604019351,506.6157021004227,11.005582792540954,11.295912214457369
20,4858.546875,603.912109375,4403.89892578125,724.8787231445312,4858.236618963804,592.924192669077,4403.9591028160285,736.2390804885399,10.992296045153516,11.360516725003588
21,2574.654541015625,4251.46728515625,1669.251953125,4229.5673828125,2574.534007485067,4247.918894341636,1668.9752454775496,4233.003993072398,3.55043739632571,3.447732182260214
22,2164.166259765625,4160.044921875,1318.093994140625,4097.4208984375,2164.0340723809077,4156.157319013155,1317.803127547824,4101.152116886123,3.889849549289153,3.742538508305576
23,2320.313232421875,3835.90478515625,1581.5224609375,3800.76513671875,2320.1258507031926,3830.327809424278,1581.143733627921,3806.154834403071,5.580122778533033,5.402987646052682
24,2701.157470703125,3908.60986328125,1915.14404296875,3908.9287109375,2700.971699950396,3903.057301726294,1914.7523932198937,3914.34117333326,5.555668330106083,5.426613926869644
25,3284.8671875,116.47251892089844,2969.30078125,207.75222778320312,3284.556672849981,105.86590750221725,2969.490689602449,218.3327146397544,10.61115569270258,10.58219104457978
26,3580.313232421875,99.189208984375,3228.307861328125,194.54315185546875,3580.0027241540165,88.46362518087948,3228.503067346825,205.3115982565333,10.730077507185772,10.770215563410828
27,3570.829833984375,457.3243103027344,3226.34033203125,547.3072509765625,3570.508909675,446.3151220448496,3226.447238055217,558.3619658187664,11.013864830743834,11.055231754260232
28,3283.69775390625,461.1385498046875,2973.942626953125,545.4414672851562,3283.37970993691,450.3579241181753,2974.0481649205653,556.1989348276245,10.785316043543684,10.757985229113734
